Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Gansu,Mainland China,1/27/20 23:59,14,,
Shanxi,Mainland China,1/27/20 23:59,13,,
Inner Mongolia,Mainland China,1/27/20 23:59,11,,
Hong Kong,Hong Kong,1/27/20 23:59,8,,
Guizhou,Mainland China,1/27/20 23:59,7,,
Ningxia,Mainland China,1/27/20 23:59,7,,
Jilin,Mainland China,1/27/20 23:59,6,,
Macau,Macau,1/27/20 23:59,6,,
Qinghai,Mainland China,1/27/20 23:59,6,,
Taiwan,Taiwan,1/27/20 23:59,5,,
Xinjiang,Mainland China,1/27/20 23:59,5,,
Washington,US,1/27/20 23:59,1,,
Illinois,US,1/27/20 23:59,1,,
California,US,1/27/20 23:59,2,,
Arizona,US,1/27/20 23:59,1,,
,Japan,1/27/20 23:59,4,,1
,Thailand,1/27/20 23:59,8,,2
,South Korea,1/27/20 23:59,4,,
,Singapore,1/27/20 23:59,5,,
,Vietnam,1/27/20 23:59,2,,
,France,1/27/20 23:59,3,,
,Nepal,1/27/20 23:59,1,,
,Malaysia,1/27/20 23:59,4,,
Ontario,Canada,1/27/20 23:59,1,,
,Cambodia,1/27/20 23:59,1,,
,Sri Lanka,1/27/20 23:59,1,,
,Ivory Coast,1/27/20 23:59,1,,
New South Wales,Australia,1/27/20 23:59,4,,
Victoria,Australia,1/27/20 23:59,1,,﻿Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/28/20 23:00,3554,125,80
Guangdong,Mainland China,1/28/20 23:00,207,,4
Zhejiang,Mainland China,1/28/20 23:00,173,,3
Henan,Mainland China,1/28/20 23:00,168,1,
Hunan,Mainland China,1/28/20 23:00,143,,
Chongqing,Mainland China,1/28/20 23:00,132,,
Jiangxi,Mainland China,1/28/20 23:00,109,,3
Anhui,Mainland China,1/28/20 23:00,106,,
Shandong,Mainland China,1/28/20 23:00,95,,
Beijing,Mainland China,1/28/20 23:00,91,1,4
Sichuan,Mainland China,1/28/20 23:00,90,,
Fujian,Mainland China,1/28/20 23:00,80,,
Jiangsu,Mainland China,1/28/20 23:00,70,,1
Shanghai,Mainland China,1/28/20 23:00,66,1,4
Guangxi,Mainland China,1/28/20 23:00,51,,2
Shaanxi,Mainland China,1/28/20 23:00,46,,
Yunnan,Mainland China,1/28/20 23:00,44,,
Hainan,Mainland China,1/28/20 23:00,40,1,
Liaoning,Mainland China,1/28/20 23:00,34,,
Hebei,Mainland China,1/28/20 23:00,33,1,
Heilongjiang,Mainland China,1/28/20 23:00,33,1,
Shanxi,Mainland China,1/28/20 23:00,27,,
Tianjin,Mainland China,1/28/20 23:00,24,,
Gansu,Mainland China,1/28/20 23:00,19,,
Inner Mongolia,Mainland China,1/28/20 23:00,15,,
Ningxia,Mainland China,1/28/20 23:00,11,,
Xinjiang,Mainland China,1/28/20 23:00,10,,
Guizhou,Mainland China,1/28/20 23:00,9,,
Jilin,Mainland China,1/28/20 23:00,8,,
Taiwan,Taiwan,1/28/20 23:00,8,,
Hong Kong,Hong Kong,1/28/20 23:00,8,,
Macau,Macau,1/28/20 23:00,7,,
Qinghai,Mainland China,1/28/20 23:00,6,,
Washington,US,1/28/20 23:00,1,,
Illinois,US,1/28/20 23:00,1,,
California,US,1/28/20 23:00,2,,
Arizona,US,1/28/20 23:00,1,,
,Japan,1/28/20 23:00,7,,1
,Thailand,1/28/20 23:00,14,,5
,South Korea,1/28/20 23:00,4,,
,Singapore,1/28/20 23:00,7,,
,Vietnam,1/28/20 23:00,2,,
,France,1/28/20 23:00,4,,
,Nepal,1/28/20 23:00,1,,
,Malaysia,1/28/20 23:00,4,,
Ontario,Canada,1/28/20 23:00,1,,
British Columbia,Canada,1/28/20 23:00,1,,
,Cambodia,1/28/20 23:00,1,,
,Sri Lanka,1/28/20 23:00,1,,
New South Wales,Australia,1/28/20 23:00,4,,
Victoria,Australia,1/28/20 23:00,1,,
Bavaria,Germany,1/28/20 23:00,4,,﻿Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/29/20 19:30,3554,125,88
Zhejiang,Mainland China,1/29/20 19:30,296,,3
Guangdong,Mainland China,1/29/20 19:30,277,,5
Hunan,Mainland China,1/29/20 19:30,221,,
Henan,Mainland China,1/29/20 19:30,206,2,1
Anhui,Mainland China,1/29/20 19:30,152,,2
Chongqing,Mainland China,1/29/20 19:30,147,,1
Shandong,Mainland China,1/29/20 19:30,130,,1
Beijing,Mainland China,1/29/20 19:30,111,1,4
Jiangxi,Mainland China,1/29/20 19:30,109,,3
Sichuan,Mainland China,1/29/20 19:30,108,1,1
Jiangsu,Mainland China,1/29/20 19:30,99,,1
Shanghai,Mainland China,1/29/20 19:30,96,1,5
Fujian,Mainland China,1/29/20 19:30,84,,
Guangxi,Mainland China,1/29/20 19:30,58,,2
Shaanxi,Mainland China,1/29/20 19:30,56,,
Yunnan,Mainland China,1/29/20 19:30,55,,
Hebei,Mainland China,1/29/20 19:30,48,1,
Hainan,Mainland China,1/29/20 19:30,43,1,
Liaoning,Mainland China,1/29/20 19:30,39,,1
Heilongjiang,Mainland China,1/29/20 19:30,38,1,
Tianjin,Mainland China,1/29/20 19:30,27,,
Shanxi,Mainland China,1/29/20 19:30,27,,1
Gansu,Mainland China,1/29/20 19:30,24,,
Inner Mongolia,Mainland China,1/29/20 19:30,16,,
Xinjiang,Mainland China,1/29/20 19:30,13,,
Ningxia,Mainland China,1/29/20 19:30,12,,
Hong Kong,Hong Kong,1/29/20 19:30,10,,
Guizhou,Mainland China,1/29/20 19:30,9,,1
Jilin,Mainland China,1/29/20 19:30,9,,
Taiwan,Taiwan,1/29/20 19:30,8,,
Macau,Macau,1/29/20 19:30,7,,
Qinghai,Mainland China,1/29/20 19:30,6,,
Washington,US,1/29/20 19:30,1,,
Illinois,US,1/29/20 19:30,1,,
California,US,1/29/20 19:30,2,,
Arizona,US,1/29/20 19:30,1,,
,Japan,1/29/20 19:30,7,,1
,Thailand,1/29/20 19:30,14,,5
,South Korea,1/29/20 19:30,4,,
,Singapore,1/29/20 19:30,7,,
,Vietnam,1/29/20 19:30,2,,
,France,1/29/20 19:30,5,,
,Nepal,1/29/20 19:30,1,,
,Malaysia,1/29/20 19:30,7,,
Ontario,Canada,1/29/20 19:30,1,,
British Columbia,Canada,1/29/20 19:30,1,,
,Cambodia,1/29/20 19:30,1,,
,Sri Lanka,1/29/20 19:30,1,,
New South Wales,Australia,1/29/20 19:30,4,,
Victoria,Australia,1/29/20 19:30,1,,
Bavaria,Germany,1/29/20 19:30,4,,
,Finland,1/29/20 19:30,1,,
,United Arab Emirates,1/29/20 19:30,4,,﻿Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/30/20 16:00,4903,162,90
Zhejiang,Mainland China,1/30/20 16:00,428,,4
Guangdong,Mainland China,1/30/20 16:00,354,,10
Henan,Mainland China,1/30/20 16:00,278,2,2
Hunan,Mainland China,1/30/20 16:00,277,,2
Anhui,Mainland China,1/30/20 16:00,200,,2
Chongqing,Mainland China,1/30/20 16:00,182,,1
Jiangxi,Mainland China,1/30/20 16:00,162,,5
Shandong,Mainland China,1/30/20 16:00,158,,1
Sichuan,Mainland China,1/30/20 16:00,142,1,1
Jiangsu,Mainland China,1/30/20 16:00,129,,1
Beijing,Mainland China,1/30/20 16:00,114,1,4
Shanghai,Mainland China,1/30/20 16:00,112,1,5
Fujian,Mainland China,1/30/20 16:00,101,,
Guangxi,Mainland China,1/30/20 16:00,78,,2
Yunnan,Mainland China,1/30/20 16:00,70,,
Hebei,Mainland China,1/30/20 16:00,65,1,
Shaanxi,Mainland China,1/30/20 16:00,63,,
Hainan,Mainland China,1/30/20 16:00,46,1,1
Heilongjiang,Mainland China,1/30/20 16:00,44,2,
Liaoning,Mainland China,1/30/20 16:00,41,,1
Shanxi,Mainland China,1/30/20 16:00,35,,1
Tianjin,Mainland China,1/30/20 16:00,31,,
Gansu,Mainland China,1/30/20 16:00,26,,
Inner Mongolia,Mainland China,1/30/20 16:00,19,,
Ningxia,Mainland China,1/30/20 16:00,17,,
Jilin,Mainland China,1/30/20 16:00,14,,1
Xinjiang,Mainland China,1/30/20 16:00,14,,
Guizhou,Mainland China,1/30/20 16:00,12,,1
Hong Kong,Hong Kong,1/30/20 16:00,10,,
Taiwan,Taiwan,1/30/20 16:00,9,,
Qinghai,Mainland China,1/30/20 16:00,8,,
Macau,Macau,1/30/20 16:00,7,,
Tibet,Mainland China,1/30/20 16:00,1,,
Washington,US,1/30/20 16:00,1,,
Illinois,US,1/30/20 16:00,1,,
California,US,1/30/20 16:00,2,,
Arizona,US,1/30/20 16:00,1,,
,Japan,1/30/20 16:00,11,,1
,Thailand,1/30/20 16:00,14,,5
,South Korea,1/30/20 16:00,4,,
,Singapore,1/30/20 16:00,10,,
,Vietnam,1/30/20 16:00,2,,
,France,1/30/20 16:00,5,,
,Nepal,1/30/20 16:00,1,,
,Malaysia,1/30/20 16:00,8,,
Ontario,Canada,1/30/20 16:00,2,,
British Columbia,Canada,1/30/20 16:00,1,,
,Cambodia,1/30/20 16:00,1,,
,Sri Lanka,1/30/20 16:00,1,,
New South Wales,Australia,1/30/20 16:00,4,,2
Victoria,Australia,1/30/20 16:00,2,,
Queensland,Australia,1/30/20 16:00,3,,
Bavaria,Germany,1/30/20 16:00,4,,
,Finland,1/30/20 16:00,1,,
,United Arab Emirates,1/30/20 16:00,4,,
,Philippines,1/30/20 16:00,1,,
,India,1/30/20 16:00,1,,﻿Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/31/2020 23:59,5806,204,141
Zhejiang,Mainland China,1/31/2020 23:59,538,,14
Guangdong,Mainland China,1/31/2020 23:59,436,,11
Henan,Mainland China,1/31/2020 23:59,352,2,3
Hunan,Mainland China,1/31/2020 23:59,332,,2
Jiangxi,Mainland China,1/31/2020 23:59,240,,7
Anhui,Mainland China,1/31/2020 23:59,237,,3
Chongqing,Mainland China,1/31/2020 23:59,211,,1
Shandong,Mainland China,1/31/2020 23:59,184,,2
Sichuan,Mainland China,1/31/2020 23:59,177,1,1
Jiangsu,Mainland China,1/31/2020 23:59,168,,5
Beijing,Mainland China,1/31/2020 23:59,139,1,5
Shanghai,Mainland China,1/31/2020 23:59,135,1,9
Fujian,Mainland China,1/31/2020 23:59,120,,
Guangxi,Mainland China,1/31/2020 23:59,87,,2
Shaanxi,Mainland China,1/31/2020 23:59,87,,
Yunnan,Mainland China,1/31/2020 23:59,83,,1
Hebei,Mainland China,1/31/2020 23:59,82,1,
Heilongjiang,Mainland China,1/31/2020 23:59,59,2,
Hainan,Mainland China,1/31/2020 23:59,52,1,1
Liaoning,Mainland China,1/31/2020 23:59,48,,1
Shanxi,Mainland China,1/31/2020 23:59,39,,1
Tianjin,Mainland China,1/31/2020 23:59,32,,
Guizhou,Mainland China,1/31/2020 23:59,29,,2
Gansu,Mainland China,1/31/2020 23:59,29,,
Ningxia,Mainland China,1/31/2020 23:59,21,,
Inner Mongolia,Mainland China,1/31/2020 23:59,20,,1
Xinjiang,Mainland China,1/31/2020 23:59,17,,
Jilin,Mainland China,1/31/2020 23:59,14,,1
Hong Kong,Hong Kong,1/31/2020 23:59,12,,
Taiwan,Taiwan,1/31/2020 23:59,10,,
Qinghai,Mainland China,1/31/2020 23:59,8,,
Macau,Macau,1/31/2020 23:59,7,,
Tibet,Mainland China,1/31/2020 23:59,1,,
,Thailand,1/31/2020 23:59,19,,5
,Japan,1/31/2020 23:59,15,,1
,Singapore,1/31/2020 23:59,13,,
,South Korea,1/31/2020 23:59,11,,
,Malaysia,1/31/2020 23:59,8,,
,France,1/31/2020 23:59,5,,
Bavaria,Germany,1/31/2020 23:59,5,,
New South Wales,Australia,1/31/2020 23:59,4,,2
,United Arab Emirates,1/31/2020 23:59,4,,
Victoria,Australia,1/31/2020 23:59,3,,
Illinois,US,1/31/2020 23:59,2,,
California,US,1/31/2020 23:59,2,,
,Vietnam,1/31/2020 23:59,2,,
Ontario,Canada,1/31/2020 23:59,2,,
Queensland,Australia,1/31/2020 23:59,2,,
,Italy,1/31/2020 23:59,2,,
,UK,1/31/2020 23:59,2,,
,Russia,1/31/2020 23:59,2,,
Washington,US,1/31/2020 23:59,1,,
Arizona,US,1/31/2020 23:59,1,,
,Nepal,1/31/2020 23:59,1,,
British Columbia,Canada,1/31/2020 23:59,1,,
,Cambodia,1/31/2020 23:59,1,,
,Sri Lanka,1/31/2020 23:59,1,,
,Finland,1/31/2020 23:59,1,,
,Philippines,1/31/2020 23:59,1,,
,India,1/31/2020 23:59,1,,
,Sweden,1/31/2020 23:59,1,,
